Account,date,daily_pnl,trade_count,avg_trade_size,sentiment_value,sentiment_class,win_rate,buy_sell_ratio
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,5089.7183,76.0,Extreme Greed,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,7976.6646,90.0,Extreme Greed,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,23734.5,83.0,Extreme Greed,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,28186.666,94.0,Extreme Greed,0.0,inf
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,17248.148,79.0,Extreme Greed,0.4444444444444444,0.8
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,16058.536,77.0,Extreme Greed,0.0,inf
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,48561.684,84.0,Extreme Greed,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.0,33,36736.363,72.0,Greed,0.0,inf
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.96,465,11410.954,77.0,Extreme Greed,0.04946236559139785,0.31728045325779036
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.598,51,9400.588,76.0,Extreme Greed,0.5490196078431373,1.2173913043478262
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,185847.0,60.0,Greed,0.9,9.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.68,839,23593.02,44.0,Fear,0.30512514898688914,0.7157464212678937
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.28,531,10576.6875,72.0,Greed,0.15630885122410546,0.2642857142857143
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.906,210,26585.064,54.0,Neutral,0.37142857142857144,0.5909090909090909
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.09,141,10161.056,46.0,Neutral,0.9361702127659575,14.666666666666666
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,32032.5,43.0,Fear,0.3333333333333333,0.5
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,134600.0,47.0,Neutral,0.0,0.0
